2020-04-23T05:44:50.974383
;deaths;reported;est_recovered;with_symptoms_reported;symptom_no_symptoms;hospitalized;symptom_cough;symptom_pneumonia;ICU_current;ICU_finished;ICU_ventilated;ICU_deaths;ICU_beds;ICU_beds_available;ICU_clinics
2020-03-04;;262;;108;7;;64.0;;;;;;;;
2020-03-05;;400;;134;8;;78.0;;;;;;;;
2020-03-06;;639;;201;19;;118.0;;;;;;;;
2020-03-07;;795;;247;11;;146.0;;;;;;;;
2020-03-08;;902;;297;12;;172.0;6;;;;;;;
2020-03-09;;1139;;346;13;;202.0;7;;;;;;;
2020-03-10;;1296;;420;17;;202.0;9;;;;;;;
2020-03-11;3;1567;;737;49;;411.0;12;;;;;;;
2020-03-12;5;2369;;1317;79;;737.0;;;;;;;;
2020-03-13;5;3062;;1855;100;;1068.0;;;;;;;;
2020-03-14;8;3795;;2497;137;;1432.0;;;;;;;;
2020-03-15;12;4195;;3024;161;;1710.0;;;;;;;;
2020-03-16;12;6012;;3862;199;;2139.0;;;;;;;;
2020-03-17;12;7156;;5122;254;;2870.0;;;;;;;;
2020-03-18;12;8192;;5788;309;;3197.0;;;;;;;;
2020-03-19;20;10999;;7719;372;;4247.0;;;;;;;;
2020-03-20;31;13957;;9725;456;;5397.0;;;;;;;;
2020-03-21;47;16662;;11663;510;;6433.0;;;;;;;;
2020-03-22;55;18610;;12951;811;;7034.0;;;;;;;;
2020-03-23;86;22672;;15859;604;1404;8682.0;;;;;;;;
2020-03-24;114;27436;5600;19285;604;1783;10504.0;336;;;;;;;
2020-03-25;149;31554;5600;22581;757;2135;12208.0;336;;;;;;;
2020-03-26;198;36508;5900;26250;870;2664;14202.0;429;;;;;;;
2020-03-27;253;42288;7600;30393;957;3245;16316.0;519;;;;;;;
2020-03-28;325;48582;9600;35011;1062;3906;18768.0;626;;;;;;;
2020-03-29;389;52547;11500;37714;1115;4338;20153.0;685;;;;;;;
2020-03-30;455;57298;13500;40931;;4904;21716.0;771;;;;;;;
2020-03-31;583;61913;16100;44323;;4623;23491.190000000002;867;;;;;;;
2020-04-01;732;67366;18700;48767;;6382;25846.510000000002;992;;;;;;;
2020-04-02;872;73522;21400;53351;;7216;28276.030000000002;1132;;;;;;;
2020-04-03;1017;79696;23800;58209;;8055;30850.77;1250;;;;;;;
2020-04-04;1158;85778;26400;62969;;8803;33373.57;1376;;;;;;;
2020-04-05;1342;91714;28700;67328;;9550;36357.12;1509;;;;;;;
2020-04-06;1434;95391;30600;70291;;10050;36551.32;1580;;;;;;;
2020-04-07;1607;99225;33300;73780;;10726;38365.6;1673;;;;;;;
2020-04-08;1861;103228;46300;77538;;11477;40319.76;1779;1854;1566;1492;486;;;
2020-04-09;2107;108202;49900;82187;;12268;42737.24;1880;1888;1939;1464;579;;;
2020-04-10;2373;113525;53913;86721;;13057;45094.92;2032;2204;2475;1810;733;;;
2020-04-11;2544;117658;57400;90025;;13661;45912.75;2113;2204;2475;1810;733;;;
2020-04-12;2673;120479;60300;92361;;14129;47104.11;2180;2205;2978;1859;864;;;
2020-04-13;2799;123016;64300;94574;;14554;48232.74;2242;2447;3253;1841;952;;;
2020-04-14;2969;125098;68100;96303;;14969;49114.53;2559;2488;3456;1848;1018;;;
2020-04-15;3254;127584;72600;104218;;15613;53151.18;2416;2679;4017;1996;1246;;;
2020-04-16;3569;130450;77000;101538;;16318;51784.38;2509;2773;4861;2083;1501;;;
2020-04-17;3868;133830;81800;104719;;16963;53406.69;2642;2868;6030;2145;1806;29011;11901;1138
2020-04-18;4110;137439;85400;107703;;17623;54928.53;2764;2922;6365;2180;1929;30077;12336;1189
2020-04-19;4294;139897;88000;109744;;18051;55969.44;2835;2889;6619;2113;1979;30058;12665;1174
2020-04-20;4404;141672;91500;111273;;18361;55636.5;2884;2793;6785;2009;2038;29215;12260;1159
2020-04-21;4598;143457;95200;113051;;18766;56525.5;2940;2908;7037;2112;2146;31244;12623;1222
2020-04-22;4879;145694;;115384;;19335;57692.0;3028;2799;7453;2046;2237;31885;12686;1230
